,X,Y
850,850,0.59
851,851,1.0
852,852,0.72
853,853,0.96
854,854,0.86
855,855,1.14
856,856,0.78
857,857,1.14
858,858,1.14
859,859,1.02
860,860,0.9
861,861,1.02
862,862,0.82
863,863,0.6
864,864,0.91
865,865,0.74
866,866,0.89
867,867,0.72
868,868,1.3
869,869,0.92
870,870,0.83
871,871,0.74
872,872,0.77
873,873,0.63
874,874,0.79
875,875,0.73
876,876,0.55
877,877,0.49
878,878,0.78
879,879,0.61
880,880,0.53
881,881,0.55
882,882,0.94
883,883,0.76
884,884,0.43
885,885,0.32
886,886,0.57
887,887,-0.28
888,888,0.54
889,889,0.55
890,890,0.6
891,891,0.63
892,892,0.43
893,893,0.79
894,894,0.94
895,895,0.72
896,896,0.5
897,897,0.67
898,898,0.53
899,899,0.53
900,900,0.89
901,901,0.74
902,902,0.75
903,903,0.69
904,904,0.67
905,905,0.8
906,906,0.61
907,907,0.69
908,908,0.58
909,909,0.74
910,910,0.48
911,911,0.63
912,912,0.59
913,913,0.55
914,914,0.59
915,915,0.81
916,916,0.59
917,917,-0.28
918,918,0.93
919,919,0.71
920,920,0.58
921,921,0.76
922,922,0.76
923,923,0.51
924,924,0.7
925,925,0.52
926,926,0.73
927,927,0.59
928,928,1.16
929,929,0.68
930,930,0.72
931,931,0.69
932,932,0.82
933,933,0.74
934,934,0.52
935,935,0.72
936,936,0.34
937,937,0.4
938,938,0.99
939,939,0.99
940,940,0.85
941,941,0.74
942,942,0.71
943,943,0.84
944,944,0.54
945,945,0.38
946,946,0.09
947,947,0.54
948,948,0.9
949,949,0.66
950,950,0.43
951,951,0.58
952,952,0.55
953,953,0.77
954,954,0.7
955,955,0.81
956,956,0.73
957,957,0.81
958,958,0.66
959,959,0.72
960,960,0.69
961,961,0.8
962,962,1.04
963,963,0.81
964,964,1.04
965,965,0.54
966,966,0.6
967,967,0.63
968,968,0.64
969,969,0.63
970,970,0.86
971,971,0.65
972,972,0.46
973,973,0.57
974,974,0.9
975,975,0.75
976,976,0.82
977,977,0.54
978,978,0.83
979,979,0.73
980,980,0.78
981,981,0.68
982,982,0.81
983,983,0.69
984,984,0.82
985,985,0.66
986,986,0.55
987,987,0.43
988,988,0.51
989,989,0.98
990,990,0.61
991,991,0.65
992,992,0.61
993,993,0.8
994,994,0.78
995,995,0.52
996,996,0.35
997,997,0.63
998,998,0.58
999,999,0.58
1000,1000,0.56
1001,1001,0.56
1002,1002,0.74
1003,1003,0.52
1004,1004,0.53
1005,1005,0.71
1006,1006,0.67
1007,1007,0.41
1008,1008,0.18
1009,1009,0.8
1010,1010,0.69
1011,1011,0.55
1012,1012,0.68
1013,1013,0.72
1014,1014,0.54
1015,1015,0.66
1016,1016,0.92
1017,1017,0.65
1018,1018,0.47
1019,1019,0.59
1020,1020,0.68
1021,1021,0.77
1022,1022,0.74
1023,1023,0.82
1024,1024,0.95
1025,1025,0.78
1026,1026,0.61
1027,1027,0.5
1028,1028,0.6
1029,1029,0.8
1030,1030,0.65
1031,1031,1.09
