,Fea,2k_th,3k_th,Mean,LSL,USL
100,B076_TP_ABC[Y],-0.17063278131859827,-0.12337463953333964,-0.18270723654473187,-1.5,1.5
101,B076_TP_ABC[Z],-0.297959656062004,-0.27139982634036913,-0.3047456925558817,-1.5,1.5
102,B076_TP_ABC[Surface Min Dev],0.3876179996217655,0.6058788631383091,0.33185234899328864,-1.0,1.0
103,B076_TP_ABC[Surface Max Dev],1.0873736679818116,1.3071736792582904,1.0312147651006711,-1.0,1.0
104,B076_TP_X[X],-0.9190037823996633,-0.7294988084354164,-0.9674223032475283,-1.0,1.0
105,B076_TP_X[Y],-0.5147858386406972,-0.42294495858929937,-0.5382511834938293,-1.5,1.5
106,B076_TP_X[Z],-1.0644961926982903,-1.2141841242558278,-1.0262509261853394,-1.5,1.5
107,B077_PROF_BV[Surface Min Dev],-1.2326847066867543,-1.015302461824416,-1.2882258702490816,-1.5,1.5
108,B077_PROF_BV[Surface Max Dev],-1.0331508471347728,-0.8532839774945008,-1.0791068323278623,-1.5,1.5
109,B078_PROF_BAH[Surface Min Dev],-0.37871189689910756,-0.33857918596750586,-0.3889658045421318,-1.5,1.5
110,B078_PROF_BAH[Surface Max Dev],0.32061498905335284,0.3620303361650573,0.31003336786631236,-1.5,1.5
111,B080_TP_ABC[X],-0.24055437415211978,0.2925390924092036,-0.37675975485853785,-1.5,1.5
112,B080_TP_ABC[Y],1.2611998062336274,1.2723026458388003,1.2583630307145057,-1.5,1.5
113,B080_TP_ABC[Z],-1.6395355109475738,-1.7162741432478263,-1.6199287903948592,-1.5,1.5
114,B080_TP_ABC[Profile Surface],1.8969689416165778,1.9700168979194819,1.878305188781186,-1.0,1.0
115,B080_TP_ABC[Surface Min Dev],-1.8969689416165778,-1.9700168979194819,-1.878305188781186,-1.0,1.0
116,B080_TP_ABC[Surface Max Dev],-1.3821597397616046,-1.4622878725961657,-1.3616870018223741,-1.0,1.0
117,B081_TP_ABC[X],-1.6914392663515139,-1.4958399484646516,-1.741414892071607,-1.5,1.5
118,B081_TP_ABC[Y],-1.0672047977693506,-0.8647506109186651,-1.1189318425097006,-1.5,1.5
119,B081_TP_ABC[Z],-0.21276106743906584,-0.42128492639231746,-0.15948322147651006,-1.5,1.5
120,B081_TP_ABC[Profile Surface],0.8661349469945526,0.9959330750423045,0.832971525278352,-1.0,1.0
121,B081_TP_ABC[Surface Min Dev],-0.8482662162638812,-1.1375989145686978,-0.7743417118470006,-1.0,1.0
122,B081_TP_ABC[Surface Max Dev],0.42403432940846897,0.29486587503401346,0.4570368695011423,-1.0,1.0
123,B083_TP_ABC[X],-0.9073474705121768,-0.7791936560589692,-0.9400907701049713,-1.5,1.5
124,B083_TP_ABC[Y],0.28686607913068274,0.11965886264715353,0.32958752294222443,-1.5,1.5
125,B083_TP_ABC[Z],-1.1292043274652808,-1.8274389980631827,-0.9508053691275168,-1.5,1.5
126,B083_TP_AH[X],-0.6668764409704735,-1.072455250961948,-0.5632510550176517,-1.5,1.5
127,B083_TP_AJ[Y],-0.974879792729199,-1.1537963783312382,-0.929166605107878,-1.5,1.5
128,B084_PROF_ABC[Surface Min Dev],-1.8969689416165778,-1.9700168979194819,-1.878305188781186,-1.5,1.5
129,B084_PROF_ABC[Surface Max Dev],-1.3821597397616046,-1.4622878725961657,-1.3616870018223741,-1.5,1.5
130,B085_PROF_ABC[Surface Min Dev],-0.8482662162638812,-1.1375989145686978,-0.7743417118470006,-1.5,1.5
131,B085_PROF_ABC[Surface Max Dev],0.42403432940846897,0.29486587503401346,0.4570368695011423,-1.5,1.5
132,B085_PROF_AZ[Surface Min Dev],0.7910802787727167,0.5768920125549409,0.8458053807913585,-1.5,1.5
133,B085_PROF_AZ[Surface Max Dev],2.063228557535938,2.009237090649802,2.0770233773253457,-1.5,1.5
134,B087_TP_ABC[X],-0.013902419334254984,0.14285133258223054,-0.05395300294891705,-1.5,1.5
135,B087_TP_ABC[Y],-0.5614557805015552,-0.45529975322230315,-0.588578645471404,-1.5,1.5
136,B087_TP_ABC[Z],0.29871122774783787,0.17347407612578508,0.3307093199872723,-1.5,1.5
137,B087_TP_ABC[Profile Surface],0.2713219025889606,0.2305965770801082,0.2817272232564724,-1.0,1.0
138,B087_TP_ABC[Surface Min Dev],-0.1423659842087664,0.006451360593671018,-0.18038881580578914,-1.0,1.0
139,B087_TP_ABC[Surface Max Dev],0.11460697401871517,0.2792012682036781,0.07255313185445714,-1.0,1.0
140,B087_TP_TC[Y],-0.7529847757106642,-0.3930833212888557,-0.8449395973154362,-1.5,1.5
141,B087_TP_TC[Z],-0.7429092441894108,-0.7601427581649653,-0.7385060813686567,-1.5,1.5
142,B089_PROF_V[Surface Min Dev],-0.4813302788675474,-0.12918516404503988,-0.5713033557046981,-1.5,1.5
143,B089_PROF_V[Surface Max Dev],-0.224275403436757,0.14350953815692047,-0.3182444560139416,-1.5,1.5
144,B097_TP_ABC[X],0.6503269006219321,0.8458622761086206,0.6003676121850832,-1.5,1.5
145,B097_TP_ABC[Y],-0.2657631226481341,-0.16129303547948134,-0.2924552299197249,-1.5,1.5
146,B097_TP_ABC[True Position],1.078817153724835,1.1535262355257432,1.059728983324703,-1.0,1.0
147,B098_TP_ABC[X],0.6862501713577674,1.5777847471285908,0.4584630872483221,-1.5,1.5
148,B098_TP_ABC[Y],1.1029503619726966,1.665888580501548,0.9591196471385749,-1.5,1.5
149,B098_TP_ABC[Z],0.5875265895809569,0.30247936592853875,0.6603561552241497,-1.5,1.5
150,B098_TP_AU[X],0.03694697816474457,0.7325144942974147,-0.14077052220715253,-1.5,1.5
151,B098_TP_AU[Y],1.3672681973258796,1.8238657459880723,1.2506075236426892,-1.5,1.5
152,B115_TP_ABC[X],0.4963238539193618,0.5293308501593944,0.4878905663800334,-1.5,1.5
153,B115_TP_ABC[Y],-0.15633981687713094,-0.21491775253364465,-0.14137315431689168,-1.5,1.5
154,B115_TP_ABC[Z],-0.4560353223522361,-0.3961483597177894,-0.47133644130533725,-1.5,1.5
155,B116_TP_ABC[X],0.8472301258794763,1.1196342487610997,0.7776308724832215,-1.5,1.5
156,B116_TP_ABC[Y],0.6256996423869395,0.5761797326675788,0.6383519793202362,-1.5,1.5
157,B116_TP_ABC[Z],-0.3991625926559431,-0.49088602751568783,-0.37572725504927834,-1.5,1.5
158,B116_TP_ADE_SHORT[X],-0.1810975275204718,-0.05127343443907928,-0.21426758330276763,-1.5,1.5
159,B116_TP_ADE_SHORT[Y],0.8340164407221781,0.8541966777273696,0.8288603901673516,-1.5,1.5
160,B117_TP_ABC[X],0.4666864170312197,0.43727709265683257,0.47420049940887565,-1.5,1.5
161,B117_TP_ABC[Y],-0.31215265742623,-0.3276268776136464,-0.3081989941683451,-1.5,1.5
162,B117_TP_ABC[Z],0.6195565347769368,0.6758106486820548,0.6051836086741792,-1.5,1.5
163,B117_TP_ADE_SHORT[X],-0.05162173793537185,-0.1187830210260974,-0.034462030105691474,-1.5,1.5
164,B117_TP_ADE_SHORT[Y],-0.1036895628090088,-0.04940730364071602,-0.11755868002650761,-1.5,1.5
165,B118_TP_ABC[X],0.9091087459849085,1.2504109210003762,0.8219060402684565,-1.5,1.5
166,B118_TP_ABC[Y],0.6639481806927258,0.616979027402323,0.6759487993584237,-1.5,1.5
