,SN,Bad,Bad Critical,Critical Pass Rate,Good,Ignored,Pass Rate
1430,FR320028030268,6,2,0.8181818181818182,83,1,0.9325842696629213
1431,FR320028030269,8,2,0.8181818181818182,81,1,0.9101123595505618
1432,FR320028030270,7,1,0.9090909090909091,82,1,0.9213483146067416
1433,FR320028030271,8,2,0.8181818181818182,81,1,0.9101123595505618
1434,FR320028030272,8,2,0.8181818181818182,81,1,0.9101123595505618
1435,FR320028030273,6,2,0.8181818181818182,83,1,0.9325842696629213
1436,FR320028030274,6,2,0.8181818181818182,83,1,0.9325842696629213
1437,FR320028030275,6,2,0.8181818181818182,83,1,0.9325842696629213
1438,FR320028030276,8,2,0.8181818181818182,81,1,0.9101123595505618
1439,FR320028030277,8,2,0.8181818181818182,81,1,0.9101123595505618
1440,FR320028030278,6,2,0.8181818181818182,83,1,0.9325842696629213
1441,FR320028030279,5,1,0.9090909090909091,84,1,0.9438202247191011
1442,FR320028030280,8,2,0.8181818181818182,81,1,0.9101123595505618
1443,FR320028030281,6,2,0.8181818181818182,83,1,0.9325842696629213
1444,FR320028030282,6,2,0.8181818181818182,83,1,0.9325842696629213
1445,FR320028030283,8,2,0.8181818181818182,81,1,0.9101123595505618
1446,FR320028030284,6,1,0.9090909090909091,83,1,0.9325842696629213
1447,FR320028030285,5,2,0.8181818181818182,84,1,0.9438202247191011
1448,FR320028030286,8,2,0.8181818181818182,81,1,0.9101123595505618
1449,FR320028030287,8,2,0.8181818181818182,81,1,0.9101123595505618
1450,FR320028030288,8,2,0.8181818181818182,81,1,0.9101123595505618
1451,FR320028030289,6,2,0.8181818181818182,83,1,0.9325842696629213
1452,FR320028030290,4,1,0.9090909090909091,85,1,0.9550561797752809
1453,FR320028030291,6,2,0.8181818181818182,83,1,0.9325842696629213
1454,FR320028030292,8,2,0.8181818181818182,81,1,0.9101123595505618
1455,FR320028030293,6,2,0.8181818181818182,83,1,0.9325842696629213
1456,FR320028030294,8,2,0.8181818181818182,81,1,0.9101123595505618
1457,FR320028030295,8,2,0.8181818181818182,81,1,0.9101123595505618
1458,FR320028030296,8,2,0.8181818181818182,81,1,0.9101123595505618
1459,FR320028030297,8,2,0.8181818181818182,81,1,0.9101123595505618
1460,FR320028030298,6,1,0.9090909090909091,83,1,0.9325842696629213
1461,FR320028030299,6,2,0.8181818181818182,83,1,0.9325842696629213
1462,FR320028030300,8,2,0.8181818181818182,81,1,0.9101123595505618
1463,FR320028030301,8,2,0.8181818181818182,81,1,0.9101123595505618
1464,FR320028030302,8,2,0.8181818181818182,81,1,0.9101123595505618
1465,FR320028030303,8,2,0.8181818181818182,81,1,0.9101123595505618
1466,FR320028030304,8,2,0.8181818181818182,81,1,0.9101123595505618
1467,FR320028030305,8,2,0.8181818181818182,81,1,0.9101123595505618
1468,FR320028030306,8,2,0.8181818181818182,81,1,0.9101123595505618
